review_id,section,start,end,type,annotator_a,annotator_b,chosen,rule,which
1917,desc,371,452,span_only_one_annotator,,,design,union_keep,b_only
1917,desc,371,507,span_only_one_annotator,,,performance,union_keep,a_only
1917,desc,567,630,label_conflict,ease_of_use,design,ease_of_use,prefer_non_generic,
1917,desc,710,760,span_only_one_annotator,,,performance,union_keep,b_only
1917,desc,710,786,span_only_one_annotator,,,ease_of_use,union_keep,a_only
1917,desc,812,843,span_only_one_annotator,,,ease_of_use,union_keep,b_only
1917,review,12,43,span_only_one_annotator,,,performance,union_keep,a_only
1917,review,48,103,span_only_one_annotator,,,performance,union_keep,a_only
1917,review,104,157,span_only_one_annotator,,,performance,union_keep,a_only
1920,title,0,36,span_only_one_annotator,,,material,union_keep,a_only
1920,review,0,24,span_only_one_annotator,,,build_quality,union_keep,a_only
1920,review,25,54,span_only_one_annotator,,,build_quality,union_keep,a_only
1926,desc,50,88,label_conflict,build_quality,material,material,prefer_more_frequent,
1926,review,291,346,label_conflict,build_quality,durability,durability,prefer_more_frequent,
1949,desc,739,767,label_conflict,leak_resistance,insulation,insulation,prefer_more_frequent,
1949,review,506,557,label_conflict,leak_resistance,insulation,insulation,prefer_more_frequent,
1985,title,19,61,span_only_one_annotator,,,size,union_keep,b_only
1985,desc,50,88,label_conflict,build_quality,material,material,prefer_more_frequent,
1985,review,181,224,label_conflict,build_quality,design,build_quality,prefer_non_generic,
2003,title,0,44,span_only_one_annotator,,,material,union_keep,a_only
2003,review,13,24,span_only_one_annotator,,,weight,union_keep,b_only
2003,review,13,43,span_only_one_annotator,,,weight,union_keep,a_only
2003,review,25,33,span_only_one_annotator,,,material,union_keep,b_only
2023,title,8,36,span_only_one_annotator,,,design,union_keep,a_only
2100,desc,84,101,label_conflict,storage,design,storage,prefer_non_generic,
2100,desc,164,193,span_only_one_annotator,,,design,union_keep,b_only
2100,desc,199,237,span_only_one_annotator,,,storage,union_keep,b_only
2100,review,0,35,span_only_one_annotator,,,design,union_keep,b_only
2100,review,30,35,span_only_one_annotator,,,build_quality,union_keep,a_only
2234,desc,64,73,span_only_one_annotator,,,capacity,union_keep,b_only
2234,desc,64,82,span_only_one_annotator,,,capacity,union_keep,a_only
2234,desc,74,87,span_only_one_annotator,,,included_items,union_keep,b_only
2234,desc,109,138,label_conflict,storage,design,storage,prefer_non_generic,
2234,desc,145,199,span_only_one_annotator,,,portability,union_keep,b_only
2234,review,0,12,label_conflict,included_items,ease_of_use,ease_of_use,prefer_more_frequent,
2234,review,13,71,span_only_one_annotator,,,ease_of_use,union_keep,a_only
2497,review,108,165,label_conflict,build_quality,weight,build_quality,prefer_more_frequent,
2497,review,210,223,span_only_one_annotator,,,design,union_keep,b_only
2497,review,461,539,span_only_one_annotator,,,design,union_keep,b_only
2772,desc,292,306,span_only_one_annotator,,,storage,union_keep,a_only
2911,desc,139,158,span_only_one_annotator,,,comfort,union_keep,b_only
2911,desc,201,251,label_conflict,comfort,size,size,prefer_more_frequent,
2911,desc,429,463,span_only_one_annotator,,,insulation,union_keep,b_only
2911,desc,484,509,label_conflict,size,material,size,prefer_more_frequent,
2911,review,29,59,span_only_one_annotator,,,insulation,union_keep,b_only
3031,desc,429,463,span_only_one_annotator,,,compatibility,union_keep,b_only
3031,review,112,153,span_only_one_annotator,,,material,union_keep,b_only
3031,review,154,220,span_only_one_annotator,,,insulation,union_keep,b_only
3031,review,221,248,span_only_one_annotator,,,insulation,union_keep,b_only
3106,review,88,165,label_conflict,build_quality,material,material,prefer_more_frequent,
3116,desc,292,306,span_only_one_annotator,,,storage,union_keep,a_only
3155,desc,314,348,label_conflict,adjustability,compatibility,compatibility,prefer_more_frequent,
3155,desc,438,471,label_conflict,ease_of_cleaning,insulation,insulation,prefer_more_frequent,
3155,desc,477,508,label_conflict,storage,ease_of_use,ease_of_use,prefer_more_frequent,
3155,desc,513,531,label_conflict,size,storage,size,prefer_more_frequent,
3155,desc,540,586,label_conflict,weight,size,size,prefer_more_frequent,
3155,desc,1242,1279,span_only_one_annotator,,,compatibility,union_keep,b_only
3155,desc,1660,1702,label_conflict,compatibility,weight,weight,prefer_more_frequent,
3155,desc,1721,1736,span_only_one_annotator,,,compatibility,union_keep,b_only
3155,review,0,44,label_conflict,stability,design,stability,prefer_non_generic,
3155,review,104,151,span_only_one_annotator,,,stability,union_keep,a_only
3197,title,33,38,label_conflict,design,color,color,prefer_non_generic,
3339,title,0,31,span_only_one_annotator,,,size,union_keep,a_only
3339,review,203,251,label_conflict,performance,design,design,prefer_more_frequent,
3339,review,252,328,label_conflict,performance,design,design,prefer_more_frequent,
3350,review,583,633,label_conflict,performance,compatibility,compatibility,prefer_non_generic,
3350,review,936,1013,label_conflict,performance,size,size,prefer_non_generic,
3350,review,1015,1068,label_conflict,ease_of_use,performance,ease_of_use,prefer_non_generic,
3350,review,1070,1122,span_only_one_annotator,,,ease_of_use,union_keep,b_only
3406,desc,483,508,label_conflict,design,material,material,prefer_non_generic,
3406,desc,593,608,span_only_one_annotator,,,design,union_keep,b_only
3406,desc,739,767,span_only_one_annotator,,,insulation,union_keep,b_only
3406,review,8,103,label_conflict,durability,design,durability,prefer_non_generic,
3406,review,104,169,span_only_one_annotator,,,insulation,union_keep,b_only
3406,review,171,228,span_only_one_annotator,,,insulation,union_keep,b_only
3406,review,229,298,span_only_one_annotator,,,durability,union_keep,b_only
3421,review,16,39,label_conflict,portability,ease_of_use,ease_of_use,prefer_more_frequent,
3424,title,0,49,span_only_one_annotator,,,color,union_keep,a_only
3424,desc,12,29,label_conflict,ease_of_use,performance,ease_of_use,prefer_non_generic,
3424,desc,385,402,span_only_one_annotator,,,compatibility,union_keep,b_only
3424,desc,404,417,span_only_one_annotator,,,price,union_keep,b_only
3424,desc,447,487,label_conflict,price,compatibility,price,prefer_more_frequent,
3424,desc,808,849,span_only_one_annotator,,,compatibility,union_keep,b_only
3424,review,49,110,span_only_one_annotator,,,durability,union_keep,a_only
3536,title,33,38,label_conflict,design,color,color,prefer_non_generic,
3536,desc,1392,1439,span_only_one_annotator,,,compatibility,union_keep,b_only
3606,desc,501,530,label_conflict,build_quality,stability,build_quality,prefer_more_frequent,
3606,review,29,54,label_conflict,size,weight,size,prefer_more_frequent,
3755,desc,7,18,span_only_one_annotator,,,stability,union_keep,b_only
3755,desc,238,255,span_only_one_annotator,,,size,union_keep,b_only
3755,desc,238,272,span_only_one_annotator,,,performance,union_keep,b_only
3755,desc,238,272,span_only_one_annotator,,,portability,union_keep,b_only
3755,desc,238,272,span_only_one_annotator,,,performance,union_keep,b_only
3755,desc,238,272,span_only_one_annotator,,,size,union_keep,b_only
3755,desc,332,420,span_only_one_annotator,,,ease_of_use,union_keep,b_only
3755,desc,332,420,span_only_one_annotator,,,performance,union_keep,b_only
3755,desc,338,402,span_only_one_annotator,,,performance,union_keep,b_only
3755,desc,338,402,span_only_one_annotator,,,build_quality,union_keep,b_only
3755,desc,422,444,span_only_one_annotator,,,performance,union_keep,b_only
3755,desc,422,467,label_conflict,portability,ease_of_use,ease_of_use,prefer_more_frequent,
3755,desc,501,530,label_conflict,size,build_quality,size,prefer_more_frequent,
3755,desc,503,530,span_only_one_annotator,,,performance,union_keep,b_only
3755,desc,503,530,span_only_one_annotator,,,performance,union_keep,b_only
3755,desc,503,530,span_only_one_annotator,,,performance,union_keep,b_only
3755,desc,669,745,span_only_one_annotator,,,portability,union_keep,b_only
3755,desc,669,745,span_only_one_annotator,,,size,union_keep,b_only
3755,desc,669,745,span_only_one_annotator,,,stability,union_keep,b_only
3755,desc,669,745,span_only_one_annotator,,,performance,union_keep,b_only
3755,desc,786,823,span_only_one_annotator,,,performance,union_keep,b_only
3755,desc,799,822,span_only_one_annotator,,,performance,union_keep,b_only
3755,desc,799,822,span_only_one_annotator,,,portability,union_keep,b_only
3755,desc,799,822,span_only_one_annotator,,,design,union_keep,b_only
3755,desc,799,823,span_only_one_annotator,,,runtime,union_keep,a_only
3755,desc,824,902,span_only_one_annotator,,,performance,union_keep,b_only
3755,desc,845,902,span_only_one_annotator,,,performance,union_keep,a_only
3755,desc,954,1015,span_only_one_annotator,,,size,union_keep,b_only
3755,desc,985,1015,span_only_one_annotator,,,weight,union_keep,a_only
3755,desc,1124,1145,span_only_one_annotator,,,runtime,union_keep,b_only
3755,desc,1124,1145,span_only_one_annotator,,,performance,union_keep,b_only
3755,desc,1124,1145,span_only_one_annotator,,,performance,union_keep,b_only
3755,desc,1147,1234,label_conflict,size,wind_resistance,size,prefer_more_frequent,
3755,desc,1175,1233,span_only_one_annotator,,,performance,union_keep,b_only
3755,desc,1175,1233,span_only_one_annotator,,,size,union_keep,b_only
3755,desc,1180,1233,span_only_one_annotator,,,performance,union_keep,b_only
3755,desc,1239,1296,span_only_one_annotator,,,size,union_keep,b_only
3755,desc,1239,1296,span_only_one_annotator,,,stability,union_keep,b_only
3755,desc,1239,1296,span_only_one_annotator,,,wind_resistance,union_keep,b_only
3755,desc,1239,1296,span_only_one_annotator,,,weight,union_keep,b_only
3755,desc,1304,1361,span_only_one_annotator,,,performance,union_keep,b_only
3755,desc,1308,1336,span_only_one_annotator,,,size,union_keep,b_only
3755,desc,1314,1324,span_only_one_annotator,,,performance,union_keep,a_only
3755,desc,1392,1439,label_conflict,ease_of_use,weight,ease_of_use,prefer_more_frequent,
3755,desc,1396,1438,span_only_one_annotator,,,size,union_keep,b_only
3755,desc,1396,1438,span_only_one_annotator,,,performance,union_keep,b_only
3755,desc,1396,1439,span_only_one_annotator,,,portability,union_keep,b_only
3755,desc,1451,1505,span_only_one_annotator,,,build_quality,union_keep,a_only
3755,desc,1451,1520,span_only_one_annotator,,,performance,union_keep,b_only
3755,desc,1451,1520,span_only_one_annotator,,,performance,union_keep,b_only
3755,desc,1451,1521,span_only_one_annotator,,,performance,union_keep,b_only
3755,desc,1451,1521,span_only_one_annotator,,,performance,union_keep,b_only
3755,desc,1565,1590,span_only_one_annotator,,,performance,union_keep,b_only
3755,desc,1565,1590,span_only_one_annotator,,,wind_resistance,union_keep,b_only
3755,desc,1565,1590,span_only_one_annotator,,,size,union_keep,b_only
3755,desc,1565,1590,span_only_one_annotator,,,stability,union_keep,b_only
3755,review,0,25,span_only_one_annotator,,,durability,union_keep,b_only
3765,desc,786,822,label_conflict,size,performance,size,prefer_non_generic,
3765,desc,1147,1233,label_conflict,performance,size,size,prefer_non_generic,
3765,desc,1239,1296,span_only_one_annotator,,,performance,union_keep,b_only
3765,review,133,152,label_conflict,build_quality,insulation,build_quality,prefer_more_frequent,
3765,review,706,781,label_conflict,build_quality,insulation,build_quality,prefer_more_frequent,
3765,review,800,875,span_only_one_annotator,,,performance,union_keep,b_only
3912,title,39,43,span_only_one_annotator,,,size,union_keep,b_only
3912,desc,344,364,label_conflict,stability,design,stability,prefer_non_generic,
3912,desc,422,444,label_conflict,portability,stability,portability,prefer_more_frequent,
3912,desc,503,530,label_conflict,wind_resistance,portability,portability,prefer_more_frequent,
3912,desc,669,693,span_only_one_annotator,,,insulation,union_keep,b_only
3912,desc,799,822,span_only_one_annotator,,,performance,union_keep,b_only
3912,review,54,66,label_conflict,durability,weight,durability,prefer_more_frequent,
3912,review,77,82,span_only_one_annotator,,,weight,union_keep,a_only
3946,desc,292,306,span_only_one_annotator,,,storage,union_keep,a_only
3949,desc,0,23,span_only_one_annotator,,,ease_of_use,union_keep,b_only
3949,desc,33,48,span_only_one_annotator,,,material,union_keep,a_only
3949,desc,33,49,span_only_one_annotator,,,material,union_keep,b_only
3949,desc,114,144,span_only_one_annotator,,,design,union_keep,b_only
3949,desc,122,144,span_only_one_annotator,,,storage,union_keep,a_only
3949,desc,176,193,span_only_one_annotator,,,design,union_keep,b_only
3949,desc,197,234,span_only_one_annotator,,,ease_of_use,union_keep,b_only
3949,desc,292,306,span_only_one_annotator,,,portability,union_keep,b_only
3949,review,26,47,span_only_one_annotator,,,included_items,union_keep,b_only
3949,review,36,47,span_only_one_annotator,,,quantity,union_keep,a_only
4079,desc,295,312,label_conflict,build_quality,design,build_quality,prefer_non_generic,
4079,desc,373,433,label_conflict,ease_of_cleaning,build_quality,build_quality,prefer_more_frequent,
4079,desc,502,520,label_conflict,portability,ease_of_cleaning,portability,prefer_more_frequent,
4079,desc,621,648,label_conflict,power,portability,portability,prefer_more_frequent,
4079,desc,652,679,label_conflict,performance,power,power,prefer_non_generic,
4079,desc,749,767,label_conflict,material,design,material,prefer_non_generic,
4079,desc,791,813,label_conflict,material,performance,material,prefer_non_generic,
4079,desc,1059,1081,span_only_one_annotator,,,material,union_keep,b_only
4079,desc,1187,1217,span_only_one_annotator,,,material,union_keep,b_only
4079,desc,1384,1408,span_only_one_annotator,,,size,union_keep,b_only
4302,title,8,16,span_only_one_annotator,,,size,union_keep,a_only
4302,title,17,26,span_only_one_annotator,,,size,union_keep,b_only
4302,desc,7,32,span_only_one_annotator,,,runtime,union_keep,a_only
4302,desc,34,43,label_conflict,performance,power,power,prefer_non_generic,
4302,desc,212,232,label_conflict,size,runtime,size,prefer_more_frequent,
4302,desc,237,257,label_conflict,portability,performance,portability,prefer_non_generic,
4302,desc,312,366,span_only_one_annotator,,,size,union_keep,b_only
4302,desc,371,412,span_only_one_annotator,,,portability,union_keep,b_only
4302,review,18,70,span_only_one_annotator,,,capacity,union_keep,b_only
4345,review,0,9,span_only_one_annotator,,,ease_of_use,union_keep,a_only
4371,desc,1307,1328,span_only_one_annotator,,,included_items,union_keep,a_only
4399,title,8,32,span_only_one_annotator,,,design,union_keep,a_only
4399,desc,19,41,span_only_one_annotator,,,material,union_keep,a_only
4399,desc,26,33,span_only_one_annotator,,,portability,union_keep,b_only
4399,desc,86,112,span_only_one_annotator,,,material,union_keep,b_only
4399,review,0,20,span_only_one_annotator,,,performance,union_keep,b_only
4399,review,3,20,span_only_one_annotator,,,performance,union_keep,a_only
4399,review,26,61,span_only_one_annotator,,,performance,union_keep,a_only
4399,review,26,72,span_only_one_annotator,,,design,union_keep,b_only
4399,review,73,114,span_only_one_annotator,,,durability,union_keep,b_only
4399,review,82,108,span_only_one_annotator,,,build_quality,union_keep,a_only
4399,review,119,155,span_only_one_annotator,,,durability,union_keep,a_only
4431,title,8,15,label_conflict,design,portability,portability,prefer_non_generic,
4662,title,40,43,label_conflict,design,color,color,prefer_non_generic,
4662,review,0,35,label_conflict,build_quality,performance,build_quality,prefer_non_generic,
4662,review,71,100,label_conflict,build_quality,performance,build_quality,prefer_non_generic,
4662,review,101,124,span_only_one_annotator,,,build_quality,union_keep,a_only
4662,review,125,193,span_only_one_annotator,,,performance,union_keep,a_only
4662,review,195,225,span_only_one_annotator,,,performance,union_keep,a_only
4728,desc,292,306,span_only_one_annotator,,,material,union_keep,a_only
4728,review,22,50,label_conflict,build_quality,material,material,prefer_more_frequent,
4728,review,56,78,label_conflict,ease_of_use,design,ease_of_use,prefer_non_generic,
4728,review,361,417,label_conflict,build_quality,design,build_quality,prefer_non_generic,
4756,desc,138,193,label_conflict,build_quality,compatibility,build_quality,prefer_more_frequent,
4756,desc,253,297,label_conflict,runtime,performance,runtime,prefer_non_generic,
4756,desc,329,375,label_conflict,brightness,durability,durability,prefer_more_frequent,
4756,desc,421,446,label_conflict,design,durability,durability,prefer_non_generic,
4756,desc,482,497,span_only_one_annotator,,,design,union_keep,b_only
4756,desc,562,572,span_only_one_annotator,,,performance,union_keep,b_only
4756,desc,604,622,span_only_one_annotator,,,design,union_keep,b_only
4756,review,0,26,label_conflict,ease_of_use,performance,ease_of_use,prefer_non_generic,
4756,review,28,44,label_conflict,price,ease_of_use,ease_of_use,prefer_more_frequent,
4756,review,45,79,label_conflict,runtime,price,price,prefer_more_frequent,
4756,review,81,130,span_only_one_annotator,,,durability,union_keep,b_only
4768,desc,26,42,label_conflict,build_quality,compatibility,build_quality,prefer_more_frequent,
4768,desc,138,193,label_conflict,brightness,compatibility,compatibility,prefer_more_frequent,
4768,desc,199,215,span_only_one_annotator,,,build_quality,union_keep,b_only
4768,desc,253,297,span_only_one_annotator,,,performance,union_keep,b_only
4768,desc,309,322,span_only_one_annotator,,,brightness,union_keep,b_only
4768,review,0,22,span_only_one_annotator,,,performance,union_keep,b_only
4768,review,44,58,span_only_one_annotator,,,ease_of_use,union_keep,b_only
4768,review,101,134,span_only_one_annotator,,,performance,union_keep,b_only
4798,title,40,43,label_conflict,design,color,color,prefer_non_generic,
4798,review,0,20,span_only_one_annotator,,,ease_of_use,union_keep,b_only
4816,title,37,43,span_only_one_annotator,,,comfort,union_keep,a_only
4962,title,17,38,span_only_one_annotator,,,material,union_keep,a_only
5032,desc,270,287,label_conflict,size,compatibility,size,prefer_more_frequent,
5032,review,61,81,span_only_one_annotator,,,price,union_keep,b_only
5032,review,185,200,label_conflict,build_quality,material,material,prefer_more_frequent,
5032,review,244,301,label_conflict,build_quality,material,material,prefer_more_frequent,
5060,desc,138,194,label_conflict,ease_of_use,compatibility,ease_of_use,prefer_more_frequent,
5060,desc,253,298,label_conflict,brightness,ease_of_use,ease_of_use,prefer_more_frequent,
5060,desc,336,376,span_only_one_annotator,,,brightness,union_keep,b_only
5060,review,67,81,label_conflict,brightness,ease_of_use,ease_of_use,prefer_more_frequent,
5060,review,86,111,label_conflict,build_quality,brightness,build_quality,prefer_more_frequent,
5060,review,112,160,span_only_one_annotator,,,build_quality,union_keep,b_only
5103,desc,124,171,span_only_one_annotator,,,storage,union_keep,a_only
5103,desc,153,171,label_conflict,durability,ease_of_use,ease_of_use,prefer_more_frequent,
5103,desc,203,275,span_only_one_annotator,,,storage,union_keep,a_only
5103,desc,280,348,span_only_one_annotator,,,ventilation,union_keep,a_only
5103,desc,354,392,span_only_one_annotator,,,stability,union_keep,b_only
5103,desc,358,429,span_only_one_annotator,,,ventilation,union_keep,a_only
5103,desc,358,430,span_only_one_annotator,,,stability,union_keep,a_only
5103,desc,431,457,label_conflict,ease_of_use,ventilation,ease_of_use,prefer_more_frequent,
5103,desc,614,700,span_only_one_annotator,,,ease_of_use,union_keep,a_only
5103,desc,737,777,label_conflict,durability,ease_of_use,ease_of_use,prefer_more_frequent,
5103,desc,782,818,label_conflict,privacy,storage,storage,prefer_more_frequent,
5103,review,0,35,span_only_one_annotator,,,ease_of_use,union_keep,a_only
5103,review,8,34,span_only_one_annotator,,,ease_of_use,union_keep,b_only
5103,review,36,72,span_only_one_annotator,,,wind_resistance,union_keep,a_only
5103,review,36,72,span_only_one_annotator,,,stability,union_keep,a_only
5103,review,42,71,span_only_one_annotator,,,stability,union_keep,b_only
5103,review,106,207,span_only_one_annotator,,,portability,union_keep,a_only
5103,review,106,207,span_only_one_annotator,,,portability,union_keep,a_only
5103,review,208,283,label_conflict,ease_of_use,portability,ease_of_use,prefer_more_frequent,
5144,review,188,236,label_conflict,build_quality,material,material,prefer_more_frequent,
5144,review,718,818,label_conflict,build_quality,price,build_quality,prefer_more_frequent,
5180,desc,33,48,span_only_one_annotator,,,material,union_keep,b_only
5180,desc,53,66,span_only_one_annotator,,,material,union_keep,b_only
5180,desc,114,144,span_only_one_annotator,,,ease_of_use,union_keep,b_only
5180,desc,176,193,span_only_one_annotator,,,design,union_keep,b_only
5180,desc,292,306,span_only_one_annotator,,,size,union_keep,b_only
5180,review,4,17,label_conflict,performance,material,material,prefer_non_generic,
5180,review,22,37,label_conflict,price,material,material,prefer_more_frequent,
5180,review,90,102,label_conflict,size,performance,size,prefer_non_generic,
5180,review,156,175,label_conflict,material,price,material,prefer_more_frequent,
5180,review,178,187,label_conflict,durability,size,size,prefer_more_frequent,
5180,review,192,204,label_conflict,price,material,material,prefer_more_frequent,
5180,review,209,222,span_only_one_annotator,,,material,union_keep,b_only
5180,review,225,237,span_only_one_annotator,,,durability,union_keep,b_only
5180,review,270,281,span_only_one_annotator,,,material,union_keep,b_only
5180,review,428,456,span_only_one_annotator,,,price,union_keep,b_only
5230,desc,415,440,label_conflict,durability,ease_of_use,ease_of_use,prefer_more_frequent,
5230,desc,464,492,label_conflict,size,durability,size,prefer_more_frequent,
5230,desc,506,531,label_conflict,size,design,size,prefer_non_generic,
5230,desc,646,666,label_conflict,weight,size,size,prefer_more_frequent,
5230,desc,692,715,span_only_one_annotator,,,size,union_keep,b_only
5230,desc,725,767,span_only_one_annotator,,,weight,union_keep,b_only
5288,title,8,20,span_only_one_annotator,,,material,union_keep,a_only
5288,title,8,46,span_only_one_annotator,,,size,union_keep,a_only
5288,title,21,29,span_only_one_annotator,,,ease_of_use,union_keep,a_only
5288,desc,739,767,label_conflict,leak_resistance,insulation,insulation,prefer_more_frequent,
5288,review,113,136,label_conflict,build_quality,ease_of_use,ease_of_use,prefer_more_frequent,
5546,desc,145,180,label_conflict,storage,performance,storage,prefer_non_generic,
5546,desc,186,247,label_conflict,ease_of_cleaning,design,ease_of_cleaning,prefer_non_generic,
5546,desc,271,324,span_only_one_annotator,,,ease_of_use,union_keep,b_only
5546,review,34,106,label_conflict,versatility,compatibility,compatibility,prefer_more_frequent,
5546,review,108,189,span_only_one_annotator,,,capacity,union_keep,a_only
5546,review,125,189,span_only_one_annotator,,,capacity,union_keep,b_only
5565,desc,145,159,label_conflict,build_quality,design,build_quality,prefer_non_generic,
5565,review,0,22,span_only_one_annotator,,,performance,union_keep,a_only
6098,title,8,15,label_conflict,ease_of_use,portability,ease_of_use,prefer_more_frequent,
6108,desc,153,171,label_conflict,sun_protection,performance,sun_protection,prefer_non_generic,
6108,desc,614,700,label_conflict,ease_of_use,design,ease_of_use,prefer_non_generic,
6108,desc,737,777,span_only_one_annotator,,,ease_of_use,union_keep,b_only
6137,title,8,15,label_conflict,design,portability,portability,prefer_non_generic,
6234,review,167,198,label_conflict,build_quality,material,material,prefer_more_frequent,
6329,title,8,13,span_only_one_annotator,,,ease_of_use,union_keep,b_only
6329,desc,153,171,label_conflict,durability,performance,durability,prefer_non_generic,
